ID,Cidade,Nome,Check-in,Check-out,Horário Check-in,Observações
H-01,Milão,A definir,2026-08-06,2026-08-08,15:00,2 noites - próximo ao Duomo/metrô recomendado
H-02,Lago di Garda,A definir,2026-08-08,2026-08-10,15:00,2 noites - base em Pordenone/Peschiera
H-03,Sorrento,Hotel Sorrento Coast Suites,2026-08-10,2026-08-15,14:00,"5 noites - base p/ Positano, Amalfi, Capri, Pompeia (confirmado)"
H-04,Roma,A definir,2026-08-15,2026-08-18,15:00,3 noites - próximo a estação Termini recomendado
H-05,Tirana,A definir,2026-08-18,2026-08-20,14:00,2 noites - último trecho da viagem
